regn,date,Equity,profit_12m,eq_2pt,eq_12pt,eq_13pt,ROE_2pt,ROE_12pt,ROE_13pt
bank_1,2024-12-01,273797.6,46571.4,268213.85,269865.0333333333,269308.5,0.17363532867523435,0.1725729318272801,0.17292955848033018
bank_1,2025-01-01,262082.3,35664.9,264553.15,269453.225,269266.3615384615,0.13481185160713452,0.1323602640124274,0.1324521184013759
bank_1,2025-02-01,273087.4,38444.4,271825.65,269663.51666666666,269732.7769230769,0.14143036170427625,0.1425643352694293,0.1425277285117028
bank_1,2025-03-01,280196.3,40319.600000000006,271580.8,271099.43333333335,270473.73076923075,0.1484626306425197,0.14872624226559925,0.14907029930533566
bank_1,2025-04-01,285859.6,40207.100000000006,277472.6,272497.26666666666,272234.8307692308,0.14490475816350878,0.14755047084264333,0.14769271032068243
bank_1,2025-05-01,289603.3,39003.100000000006,281606.05,273830.14166666666,273813.1153846154,0.13850235106809675,0.14243537896379013,0.142444235898685
bank_1,2025-06-01,295615.5,35463.5,287501.95,275182.39999999997,275505.93846153846,0.12335046770987118,0.12887270406828347,0.1287213633144638
bank_1,2025-07-01,301844.6,44265.6,289214.35,277287.4416666667,277233.3384615384,0.153054646147399,0.15963795451368706,0.1596691085049323
bank_1,2025-08-01,307400.3,44428.200000000004,288506.05,280436.48333333334,279603.8153846153,0.15399399769952835,0.15842517874962656,0.15889697334382147
bank_1,2025-09-01,311847.4,39773.9,294257.55000000005,283368.12499999994,282852.70769230765,0.13516696512969675,0.140361235054225,0.14061700283692097
bank_1,2025-10-01,299638.7,34979.5,278724.9,286853.75833333336,284619.7076923077,0.12549829599006043,0.12194192679655495,0.12289907920858066
bank_1,2025-11-01,306073.0,35033.600000000006,283672.55,290587.1666666667,288332.1615384616,0.12350014127204062,0.1205614150200485,0.12150430882587046
bank_1,2025-12-01,315195.0,33444.1,294496.3,294036.95,292480.07692307694,0.11356373577528818,0.11374114715854589,0.11434659191776637
bank_1,2026-01-01,306245.5,34328.9,284163.9,297717.2166666667,294976.06923076924,0.12080668937891124,0.11530707019351082,0.11637859331952587
bank_10,2023-04-01,1287.0,1131.4,725.65,756.9833333333332,711.3923076923077,1.5591538620547098,1.4946167903300385,1.5904023529157343
bank_10,2023-05-01,1323.6,1061.1,797.4499999999999,844.6750000000001,800.5692307692308,1.3306163395824189,1.2562228075887174,1.3254319042219957
bank_10,2023-06-01,1442.9,1153.5,870.5500000000001,940.0666666666666,890.6923076923077,1.3250244098558381,1.227040635415928,1.2950600224544433
bank_10,2023-07-01,1552.9,1153.6,980.45,1035.475,987.2076923076922,1.1766025804477533,1.114078080108163,1.1685484310837873
bank_10,2023-08-01,1744.9,1227.9,1135.35,1137.0666666666666,1090.0461538461536,1.081516712907914,1.0798839118198875,1.1264660635400057
bank_10,2023-09-01,1789.4,1158.1999999999998,1214.7,1232.8500000000001,1187.246153846154,0.9534864575615376,0.9394492436225005,0.9755348511746639
bank_10,2023-10-01,1937.1,1150.1000000000001,1366.4499999999998,1327.9583333333333,1287.0230769230768,0.8416700208569653,0.8660663298923788,0.8936125704517881
bank_10,2023-11-01,2052.9,1172.6000000000001,1471.0,1424.9416666666666,1383.723076923077,0.7971447994561524,0.8229108793927238,0.8474238953992573
bank_10,2023-12-01,2224.6,1292.0000000000002,1583.0,1531.875,1486.453846153846,0.8161718256475049,0.8434108527131784,0.8691827219143137
bank_10,2024-01-01,2181.6,1271.4,1550.3,1637.0916666666665,1581.853846153846,0.8200993356124622,0.7766211421677671,0.8037404992195137
bank_10,2024-02-01,2274.6,1267.9,1658.1,1739.8416666666665,1686.1307692307694,0.7646704058862555,0.7287444738745386,0.7519582841006035
bank_10,2024-03-01,2317.0,1286.6,1691.8,1844.0416666666667,1784.2384615384615,0.760491783898806,0.6977065774905664,0.7210919547663084
bank_10,2024-04-01,2436.2,1185.4,1861.6,1939.8083333333334,1889.5923076923077,0.636764073914912,0.6110913019757107,0.62733108892028
bank_10,2024-05-01,2404.5,1117.1000000000004,1864.05,2029.8833333333332,1975.5538461538463,0.5992864998256486,0.5503271945021473,0.565461681631636
bank_10,2024-06-01,2524.9,1118.2,1983.9,2120.0499999999997,2067.9615384615386,0.563637280104844,0.5274403905568266,0.5407257239570741
bank_10,2024-07-01,2643.3,1126.6,2098.1000000000004,2210.9166666666665,2160.3,0.5369620132500833,0.5095623987034036,0.5215016432902837
bank_10,2024-08-01,2768.3,1059.5,2256.6000000000004,2296.2,2253.7923076923075,0.46951165470176365,0.4614145109311036,0.47009655520780363
bank_10,2024-09-01,2891.8,1138.6,2340.6000000000004,2388.066666666667,2342.015384615385,0.4864564641544902,0.4767873593702017,0.4861624767622888
bank_10,2024-10-01,3099.2,1198.2,2518.1499999999996,2484.9083333333333,2442.769230769231,0.47582550682048336,0.48219082528195206,0.49050888021161354
bank_10,2024-11-01,3266.0,1249.3,2659.45,2586.0,2544.992307692308,0.4697587847111245,0.4831013147718484,0.4908855701543604
bank_10,2024-12-01,3182.7,994.2,2703.6499999999996,2665.8416666666667,2631.8999999999996,0.36772511234812205,0.37294037842957667,0.3777499145104298
bank_10,2025-01-01,3079.4,934.0,2630.5,2740.6583333333333,2697.653846153846,0.35506557688652346,0.3407940306313264,0.3462267782546087
bank_10,2025-02-01,3223.0,1010.6999999999999,2748.8,2819.691666666667,2777.7615384615387,0.3676877182770663,0.35844344683077045,0.3638541271472048
bank_10,2025-03-01,3336.7,1081.2,2826.85,2904.6666666666665,2859.4615384615386,0.38247519323628776,0.3722285976589397,0.3781131466386894
bank_10,2025-04-01,3204.6,964.0,2820.3999999999996,2968.7000000000003,2927.738461538462,0.3417954900014183,0.3247212584633004,0.32926438364082533
bank_10,2025-05-01,3385.6,1176.6,2895.05,3050.4583333333335,3000.769230769231,0.4064178511597381,0.3857125295379109,0.3920994616764932
bank_10,2025-06-01,3292.3,962.9999999999999,2908.6000000000004,3114.4083333333333,3069.061538461538,0.3310871209516605,0.30920800901187756,0.31377669946713854
bank_10,2025-07-01,3362.8,915.1,3003.05,3174.3666666666663,3133.5153846153844,0.30472353107673866,0.28827797670926486,0.29203622375459365
bank_10,2025-08-01,3581.8,1009.2,3175.05,3242.1583333333333,3205.7076923076925,0.3178532621533519,0.31127412551823763,0.31481348172250456
bank_10,2025-09-01,3932.5,1236.3000000000002,3412.15,3328.883333333333,3295.2615384615387,0.36232287560628934,0.37138580004305755,0.3751750765668186
bank_10,2025-10-01,3845.4,941.8999999999999,3472.3,3391.066666666667,3368.6153846153848,0.27126112375082795,0.2777592104745802,0.27961043112897327
bank_10,2025-11-01,4197.7,1127.3000000000002,3731.85,3468.7083333333335,3453.1153846153848,0.30207537816364544,0.32499129118668096,0.326458827591584
bank_10,2025-12-01,4247.4,1260.3999999999999,3715.0499999999997,3557.433333333333,3528.6076923076926,0.3392686504892262,0.35430038510911427,0.35719470961525457
bank_10,2026-01-01,4129.5,1245.7,3604.45,3644.941666666667,3601.438461538462,0.345600577064462,0.34176129933492305,0.34588956976592683
bank_12,2021-01-01,3507.3,352.5,3463.8500000000004,3576.625,3564.6076923076926,0.10176537667624175,0.09855660014678642,0.09888886251373007
bank_12,2021-02-01,3600.1,343.2,3513.75,3591.0166666666664,3578.4307692307693,0.0976734258271078,0.0955718204222574,0.09590796137542025
bank_12,2021-03-01,3789.5,557.0,3615.45,3620.025,3606.2846153846153,0.1540610435768715,0.15386634070206698,0.15445259024310126
bank_12,2021-04-01,3922.8,539.2,3717.0,3654.3250000000003,3643.315384615385,0.14506322302932473,0.14755118934413333,0.14799706944857915
bank_12,2021-05-01,3725.1,298.90000000000003,3646.55,3667.4166666666665,3659.769230769231,0.08196788745526594,0.08150151105455704,0.08167181621371672
bank_12,2021-06-01,3424.9,181.7,3502.65,3654.4583333333335,3648.7615384615387,0.05187500892181633,0.04972009075672409,0.04979771850933614
bank_12,2021-07-01,3370.1,100.99999999999997,3497.3,3633.258333333333,3632.584615384615,0.028879421267835177,0.02779873896479514,0.02780389466283807
bank_12,2021-08-01,3492.5,224.90000000000003,3557.1,3622.491666666667,3622.4307692307693,0.06322566135334964,0.062084338818354776,0.06208538253106712
bank_12,2021-09-01,3502.5,104.19999999999999,3628.7,3601.4583333333335,3613.2615384615387,0.02871551795408824,0.028932724012263548,0.02883821137519053
bank_12,2021-10-01,3490.2,24.5,3648.05,3575.1499999999996,3592.8999999999996,0.006715916722632639,0.006852859320587948,0.006819004147067829
bank_12,2021-11-01,3627.3,186.0,3619.6000000000004,3576.433333333334,3579.1615384615384,0.05138689357940104,0.05200712068820892,0.05196747841673276
bank_12,2021-12-01,3659.4,366.4,3562.15,3592.641666666667,3582.815384615385,0.1028592282750586,0.10198623575502705,0.10226594470184597
bank_12,2022-01-01,3947.1,630.5,3727.2,3629.2916666666665,3619.9076923076927,0.16916183730414253,0.1737253596317004,0.174175712087856
bank_12,2022-02-01,3995.8,688.0,3797.95,3662.2666666666664,3657.4846153846156,0.181150357429666,0.18786179779371612,0.18810742145190157
bank_12,2022-03-01,4116.5,581.1,3953.0,3689.5166666666664,3697.207692307692,0.14700227675183405,0.15750030491798836,0.15717266877081876
bank_12,2022-04-01,4458.7,789.5,4190.75,3734.1749999999997,3748.6846153846154,0.1883910994452067,0.21142554915074951,0.2106072078616294
bank_12,2022-05-01,4588.2,1123.9,4156.65,3806.1,3799.8692307692304,0.27038600796314344,0.29528914111557764,0.2957733363293879
bank_12,2022-06-01,4703.8,1628.6000000000001,4064.3500000000004,3912.6749999999997,3875.153846153846,0.4007036795551564,0.4162369734261088,0.42026718542191877
bank_12,2022-07-01,5371.2,2349.6000000000004,4370.65,4079.433333333333,4024.8692307692304,0.5375859425943511,0.5759623477116921,0.5837705190612978
bank_12,2022-08-01,5824.5,2680.6,4658.5,4273.766666666666,4213.66923076923,0.5754212729419341,0.6272218885760414,0.6361676375605402
bank_12,2022-09-01,6168.4,3013.2000000000003,4835.45,4495.925,4419.507692307692,0.6231477938971555,0.6702069095903513,0.6817953966331093
bank_12,2022-10-01,6332.1,3208.8999999999996,4911.15,4732.75,4637.16923076923,0.6533907536931268,0.6780201785431302,0.6919954481513921
bank_12,2022-11-01,6106.0,3342.0,4866.65,4939.308333333333,4838.384615384615,0.6867146805297278,0.6766129535680603,0.6907264026455111
bank_12,2022-12-01,6452.7,3656.3,5056.05,5172.083333333333,5055.723076923076,0.7231534498274345,0.7069298316281318,0.7232002117934893
bank_12,2023-01-01,6786.3,3741.7,5366.7,5408.683333333333,5296.253846153846,0.6972068496468966,0.691794983991791,0.7064804876596374
bank_12,2023-02-01,7145.7,4092.9999999999995,5570.75,5671.174999999999,5542.299999999999,0.7347305120495444,0.7217199257649429,0.7385020659293073
bank_12,2023-03-01,7272.7,4150.7,5694.6,5934.191666666666,5794.36923076923,0.7288835036701435,0.6994549945724144,0.7163333634244387
bank_12,2023-04-01,7350.6,3865.6,5904.65,6175.183333333333,6043.1461538461535,0.6546704715774856,0.6259895117823762,0.6396668062611299
bank_12,2023-05-01,7265.9,3588.4999999999995,5927.049999999999,6398.325,6259.084615384616,0.6054445297407648,0.5608499099373664,0.5733266476665916
bank_12,2023-06-01,6783.3,3238.8999999999996,5743.55,6571.616666666666,6427.9384615384615,0.5639195271217278,0.49286197967521944,0.5038785015413483
bank_12,2023-07-01,6961.4,2828.7999999999993,6166.299999999999,6704.133333333334,6601.6,0.45875160144657245,0.4219486485948965,0.4285021812893843
bank_12,2023-08-01,6976.0,2469.2,6400.25,6800.091666666667,6725.046153846154,0.3857974297878989,0.3631127521565273,0.36716476638421697
bank_12,2023-09-01,7036.2,2404.5,6602.299999999999,6872.408333333334,6818.253846153846,0.36419126667979346,0.3498773477031948,0.3526562745029463
bank_12,2023-10-01,6787.4,2231.6,6559.75,6910.349999999999,6865.86923076923,0.340195891611723,0.3229358860260334,0.32502803723658724
bank_12,2023-11-01,6765.3,2038.6999999999998,6435.65,6965.291666666667,6899.192307692308,0.31678229860231677,0.2926941322150903,0.2954983582247643
